id	Preferred term	Synonyms	Source	CUI UMLS	Semantic Type UMLS		Term import ID	Future ID	COVoc ID	Temporary label (COVOC IDs only)	Child of	Preferred label	Synonym	Narrow synonym	Broad synonym	Related synonym	Definition	x-refs	Comments	Paola's comments	Curation stats
							ID		A cov:internal_covoc_id  SPLIT=||	LABEL	SC %	A cov:preferred_covoc_label	A oboInOwl:hasExactSynonym SPLIT=||	A oboInOwl:hasNarrowSynonym SPLIT=||	A oboInOwl:hasBroadSynonym SPLIT=||	A oboInOwl:hasRelatedSynonym SPLIT=||	A IAO:0000115	A oboInOwl:hasDbXref SPLIT=||	A rdfs:comment		
BMV_60	glycoprotein	glycoproteins					CHEBI:17089		BMV_60			glycoprotein									
BMV_7	Antiviral Agents			C0003451	[Pharmacologic Substance]		CHEBI:22587		BMV_5||BMV_6||BMV_7			antiviral agent	antiviral agents||antiviral activity||antiviral activities		antiviral||antivirals			UMLS:C0003451	Pharmacologic Substance		
							CHEBI:24431				EFO:0000001	chemical entity									
							CHEBI:33694					biomacromolecule									
BMV_108	Pharmaceutical Preparations			C0013227	[Pharmacologic Substance]		CHEBI:52217		BMV_108			pharmaceutical preparation						UMLS:C0013227	Pharmacologic Substance		
BMV_17	biomarkers	biomarker					CHEBI:59163		BMV_17			biomarker	biomarkers								
BMV_37	Cryo-EM structure						CHMO:0002413		BMV_37		OBI:0000070	cryo-EM structure				Cryo-EM structure					
							CL:0000000					cell									
BMV_85	Macrophage | macrophages			C0024432	[Cell]		CL:0000235		BMV_85		CL:0000000	macrophage	macrophages					UMLS:C0024432	Cell		
							CL:0000624				CL:0000000	CD4-positive, alpha-beta T cell		CD4 T cell							Paola added term based on EMBL conference
							CL:0000625				CL:0000000	CD8-positive, alpha-beta T cell		CD8 T cell							Paola added term based on EMBL conference
BMV_66	immune cell	immune cells					CL:0000738		BMV_66		CL:0000000	immune cell									
							CL:0000787				CL:0000000	memory B cell									Paola added term based on EMBL conference
BMV_12	B-cell assays						COVOC:0010001		BMV_12	B-cell assays	OBI:0000070	B-cell assay					A cell-based assay that uses B cells.	https://orcid.org/0000-0002-2825-0621			Paola added def
BMV_31	confirmed case	confirmed cases					COVOC:0010003		BMV_31	confirmed case	obo:COVOC_00000000	confirmed case					Any person meeting the laboratory criteria for COVID-19.	https://www.ecdc.europa.eu/en/covid-19/surveillance/case-definition			Paola added def
BMV_32	conformational masking						COVOC:0010004		BMV_32	conformational masking	obo:COVOC_00000000	conformational masking					Any conformational change in a protein that causes a part of the protein to become inaccessible.	https://orcid.org/0000-0003-0800-544X			
BMV_48	fecal sample	fecal samples					COVOC:0010005		BMV_48	fecal sample	OBI:0100051	fecal sample					A sample of feces.	https://orcid.org/0000-0002-2825-0621			Paola added def
BMV_59	glycan shielding						COVOC:0010007		BMV_59	glycan shielding	obo:COVOC_00000000	glycan shielding	glycan shield				A strategy whereby viruses may evade neutralizing antibodies. Some viral glycoproteins are heavily glycosylated by N- and O- linked glycans,  creating a so called glycan shield, which may decrease antibody binding  affinity and  facilitate evasion of neutralizing antibodies.	Wikipedia:Neutralizing_antibody#Virus_evasion_of_neutralizing_antibodies			Paola added def
BMV_73	immunogenicity						COVOC:0010009		BMV_73	immunogenicity	obo:COVOC_00000000	immunogenicity					The ability of a foreign substance, such as an antigen, to provoke an immune response in the body of a human or other animal.	Wikipedia:Immunogenicity			Paola added def
BMV_80	intensive care						COVOC:0010012		BMV_80	intensive care	obo:COVOC_00000000	intensive care	critical care medicine				A medical specialty that deals with critically ill patients who have, are at risk of, or are recovering from conditions that may be life-threatening. It includes providing life support, invasive monitoring techniques, resuscitation, and end-of-life care.	Wikipedia:Intensive_care_medicine			Paola added def
BMV_81	interaction	interactions					NCIT:C18469		BMV_81	protein-protein interaction	GO:0008150	protein-protein interaction			interaction						
