Term import ID	COVoc ID	Preferred label	Synonym	Narrow synonym	Broad synonym	x-refs
ID	A oboInOwl:hasAlternativeID	A rdfs:prefLabel	A oboInOwl:hasExactSynonym SPLIT=||	A oboInOwl:hasNarrowSynonym SPLIT=||	A oboInOwl:hasBroadSynonym SPLIT=||	A oboInOwl:hasDbXref SPLIT=||
CLO:0002172	CL:1	Caco-2				PMID:32149036||CVCL:0025
CLO:0002192	CL:2	Calu-3				PMID:32165541||CVCL:0609
	CL:3	Calu-3 2B4				PMID:20090954||CVCL:YZ47
EFO_0001184	CL:4	HEK293T				DOI:10.1101/2020.03.02.972935||CVCL:0063
EFO_0005384	CL:5	Huh-7				DOI:10.1101/2020.03.02.972935||PMID:31978945||CVCL:0036
CLO:0009524	CL:6	Vero				DOI:10.1101/2020.03.02.972935v2||PMID:32165541||PMID:32149036||DOI:10.1101/2020.03.19.997890v1||CVCL:0059
	CL:7	VeroE6				DOI:10.1101/2020.03.02.972935v2||PMID:32165541||PMID:32020029||PMID:31978945||DOI:10.1101/2020.03.07.982264v2||PMID:32149036||CVCL:0574
	CL:8	VeroE6/TMPRSS2				PMID:32165541||CVCL:YQ49
CLO:0002462	CL:9	CHO-K1				https://www.theage.com.au/national/coronavirus-outbreak-how-the-covid-19-vaccine-is-being-made-20200220-p542rh.html||CVCL:0214
CLO:0007059	CL:10	K-562				DOI:10.1016/j.medidd.2020.100026||CVCL:0004
	CL:11	PER.C6				https://www.jnj.com/coronavirus||CVCL:G704
	CL:12	47D11				
	CL:13	F26G1				
	CL:14	F26G6				
	CL:15	F26G8				
	CL:16	F26G18				
	CL:17	F26G19				
	CL:18	N-176-15				CVCL:XA76
	CL:19	S-9-11				CVCL:XA77
	CL:20	rSN-18				CVCL:YQ10
	CL:21	rSN-21-2				CVCL:YQ13
	CL:22	rSN-29				CVCL:YQ14
	CL:23	rSN-122				CVCL:YQ11
	CL:24	rSN-150				CVCL:YQ12
